2a01:e480::,2a01:e487:ffff:ffff:ffff:ffff:ffff:ffff,TR
2a01:e4c0::,2a01:e4c7:ffff:ffff:ffff:ffff:ffff:ffff,PL
2a01:e500::,2a01:e503:ff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e503:100::,2a01:e503:100:ffff:ffff:ffff:ffff:ffff,US
2a01:e503:101::,2a01:e504:ff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e504:100::,2a01:e504:100:ffff:ffff:ffff:ffff:ffff,US
2a01:e504:101::,2a01:e505:ff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e505:100::,2a01:e505:100:ffff:ffff:ffff:ffff:ffff,US
2a01:e505:101::,2a01:e506:ff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e506:100::,2a01:e506:100:ffff:ffff:ffff:ffff:ffff,US
2a01:e506:101::,2a01:e507:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e540::,2a01:e540:ff:ffff:ffff:ffff:ffff:ffff,NL
2a01:e540:100::,2a01:e547:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a01:e580::,2a01:e587:ffff:ffff:ffff:ffff:ffff:ffff,BE
2a01:e5c0::,2a01:e5c0:1fff:ffff:ffff:ffff:ffff:ffff,RU
2a01:e5c0:2000::,2a01:e5c0:2fff:ffff:ffff:ffff:ffff:ffff,FR
2a01:e5c0:3000::,2a01:e5c0:3fff:ffff:ffff:ffff:ffff:ffff,FI
2a01:e5c0:4000::,2a01:e5c0:4fff:ffff:ffff:ffff:ffff:ffff,NL
2a01:e5c0:5000::,2a01:e5c0:5fff:ffff:ffff:ffff:ffff:ffff,DE
2a01:e5c0:6000::,2a01:e5c0:6fff:ffff:ffff:ffff:ffff:ffff,SE
2a01:e5c0:7000::,2a01:e5c7:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:e600::,2a01:e607:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a01:e640::,2a01:e647:ffff:ffff:ffff:ffff:ffff:ffff,IR
2a01:e680::,2a01:e687:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a01:e6c0::,2a01:e6c7:ffff:ffff:ffff:ffff:ffff:ffff,FR
2a01:e700::,2a01:e707:ffff:ffff:ffff:ffff:ffff:ffff,PL
2a01:e740::,2a01:e747:ffff:ffff:ffff:ffff:ffff:ffff,EE
2a01:e780::,2a01:e787:ffff:ffff:ffff:ffff:ffff:ffff,LB
2a01:e7c0::,2a01:e7c7:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a01:e800::,2a01:e807:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a01:e840::,2a01:e840:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:e880::,2a01:e880:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e8c0::,2a01:e8c7:ffff:ffff:ffff:ffff:ffff:ffff,DK
2a01:e900::,2a01:e900:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e901::,2a01:e901:10:ffff:ffff:ffff:ffff:ffff,RO
2a01:e901:11::,2a01:e901:1f:ffff:ffff:ffff:ffff:ffff,CH
2a01:e901:20::,2a01:e901:2f:ffff:ffff:ffff:ffff:ffff,RO
2a01:e901:30::,2a01:e901:ff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e901:100::,2a01:e901:1ff:ffff:ffff:ffff:ffff:ffff,FR
2a01:e901:200::,2a01:e907:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e940::,2a01:e940::ffff:ffff:ffff:ffff:ffff,NL
2a01:e940:1::,2a01:e940:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e941::,2a01:e941::ffff:ffff:ffff:ffff:ffff,NL
2a01:e941:1::,2a01:e941:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e942::,2a01:e942::ffff:ffff:ffff:ffff:ffff,NL
2a01:e942:1::,2a01:e942:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e943::,2a01:e943::ffff:ffff:ffff:ffff:ffff,NL
2a01:e943:1::,2a01:e943:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e944::,2a01:e944::ffff:ffff:ffff:ffff:ffff,NL
2a01:e944:1::,2a01:e944:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e945::,2a01:e945::ffff:ffff:ffff:ffff:ffff,US
2a01:e945:1::,2a01:e946:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e947::,2a01:e947::ffff:ffff:ffff:ffff:ffff,GB
2a01:e947:1::,2a01:e947:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:e980::,2a01:e987:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:e9c0::,2a01:e9c7:ffff:ffff:ffff:ffff:ffff:ffff,BH
2a01:ea00::,2a01:ea00::ffff:ffff:ffff:ffff:ffff,DE
2a01:ea00:1::,2a01:ea00:1:ffff:ffff:ffff:ffff:ffff,FR
2a01:ea00:2::,2a01:ea04:ffff:ffff:ffff:ffff:ffff:ffff,US
2a01:ea05::,2a01:ea05:ffff:ffff:ffff:ffff:ffff:ffff,RO
2a01:ea06::,2a01:ea07:ffff:ffff:ffff:ffff:ffff:ffff,US
2a01:ea40::,2a01:ea47:ffff:ffff:ffff:ffff:ffff:ffff,DK
2a01:ea80::,2a01:ea87:ffff:ffff:ffff:ffff:ffff:ffff,FR
2a01:eac0::,2a01:eac7:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a01:eb00::,2a01:eb00:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a01:eb40::,2a01:eb47:ffff:ffff:ffff:ffff:ffff:ffff,AT
2a01:eb80::,2a01:eb87:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:ebc0::,2a01:ebc0:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a01:ec00::,2a01:ec07:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a01:ec40::,2a01:ec47:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a01:ec80::,2a01:ec87:ffff:ffff:ffff:ffff:ffff:ffff,SA
2a01:ecc0::,2a01:ecc0:3f:ffff:ffff:ffff:ffff:ffff,GB
2a01:ecc0:40::,2a01:ecc0:7f:ffff:ffff:ffff:ffff:ffff,DE
2a01:ecc0:80::,2a01:ecc0:1ff:ffff:ffff:ffff:ffff:ffff,GB
2a01:ecc0:200::,2a01:ecc0:23f:ffff:ffff:ffff:ffff:ffff,NL
2a01:ecc0:240::,2a01:ecc0:33f:ffff:ffff:ffff:ffff:ffff,GB
2a01:ecc0:340::,2a01:ecc0:3bf:ffff:ffff:ffff:ffff:ffff,RU
2a01:ecc0:3c0::,2a01:ecc0:3ff:ffff:ffff:ffff:ffff:ffff,FR
2a01:ecc0:400::,2a01:ecc0:43f:ffff:ffff:ffff:ffff:ffff,NL
2a01:ecc0:440::,2a01:ecc0:47f:ffff:ffff:ffff:ffff:ffff,US
2a01:ecc0:480::,2a01:ecc0:4bf:ffff:ffff:ffff:ffff:ffff,GB
2a01:ecc0:4c0::,2a01:ecc0:4ff:ffff:ffff:ffff:ffff:ffff,DE
2a01:ecc0:500::,2a01:ecc0:53f:ffff:ffff:ffff:ffff:ffff,FI
2a01:ecc0:540::,2a01:ecc0:57f:ffff:ffff:ffff:ffff:ffff,SE
2a01:ecc0:580::,2a01:ecc7:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:ed00::,2a01:ed00:ffff:ffff:ffff:ffff:ffff:ffff,IR
2a01:ed01::,2a01:ed07:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:ed40::,2a01:ed47:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a01:ed80::,2a01:ed87:ffff:ffff:ffff:ffff:ffff:ffff,TR
2a01:edc0::,2a01:edc7:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a01:ee00::,2a01:ee07:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a01:ee40::,2a01:ee47:ffff:ffff:ffff:ffff:ffff:ffff,JO
2a01:ee80::,2a01:ee80:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:eec0::,2a01:eec7:ffff:ffff:ffff:ffff:ffff:ffff,IR
2a01:ef00::,2a01:ef00:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a01:ef40::,2a01:ef47:ffff:ffff:ffff:ffff:ffff:ffff,JP
2a01:ef80::,2a01:ef87:ffff:ffff:ffff:ffff:ffff:ffff,AL
2a01:efc0::,2a01:efc7:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a01:f000::,2a01:f007:ffff:ffff:ffff:ffff:ffff:ffff,AZ
2a01:f040::,2a01:f047:ffff:ffff:ffff:ffff:ffff:ffff,FR
2a01:f080::,2a01:f087:ffff:ffff:ffff:ffff:ffff:ffff,DK
2a01:f0c0::,2a01:f0c7:ffff:ffff:ffff:ffff:ffff:ffff,TR
2a01:f140::,2a01:f147:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:f180::,2a01:f180:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a01:f1c0::,2a01:f1c7:ffff:ffff:ffff:ffff:ffff:ffff,US
2a01:f200::,2a01:f207:ffff:ffff:ffff:ffff:ffff:ffff,IR
2a01:f240::,2a01:f247:ffff:ffff:ffff:ffff:ffff:ffff,FR
2a01:f280::,2a01:f287:ffff:ffff:ffff:ffff:ffff:ffff,BG
2a01:f2c0::,2a01:f2c7:ffff:ffff:ffff:ffff:ffff:ffff,US
2a01:f300::,2a01:f300:ffff:ffff:ffff:ffff:ffff:ffff,UA
2a01:f340::,2a01:f347:ffff:ffff:ffff:ffff:ffff:ffff,US
2a01:f380::,2a01:f380:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a01:f3c0::,2a01:f3c7:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:f400::,2a01:f407:ffff:ffff:ffff:ffff:ffff:ffff,ES
2a01:f440::,2a01:f447:ffff:ffff:ffff:ffff:ffff:ffff,ES
2a01:f480::,2a01:f480:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:f4c0::,2a01:f4c7:ffff:ffff:ffff:ffff:ffff:ffff,TW
2a01:f500::,2a01:f500:f4ff:ffff:ffff:ffff:ffff:ffff,UA
2a01:f500:f500::,2a01:f500:f507:ffff:ffff:ffff:ffff:ffff,DE
2a01:f500:f508::,2a01:f507:ffff:ffff:ffff:ffff:ffff:ffff,UA
2a01:f540::,2a01:f547:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:f580::,2a01:f587:ffff:ffff:ffff:ffff:ffff:ffff,TR
2a01:f5c0::,2a01:f5c7:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a01:f600::,2a01:f600:ffff:ffff:ffff:ffff:ffff:ffff,SM
2a01:f640::,2a01:f647:ffff:ffff:ffff:ffff:ffff:ffff,ES
2a01:f680::,2a01:f680:ffff:ffff:ffff:ffff:ffff:ffff,CY
2a01:f6c0::,2a01:f6c7:ffff:ffff:ffff:ffff:ffff:ffff,PS
2a01:f700::,2a01:f707:ffff:ffff:ffff:ffff:ffff:ffff,AE
2a01:f740::,2a01:f747:ffff:ffff:ffff:ffff:ffff:ffff,LU
2a01:f780::,2a01:f780:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:f7c0::,2a01:f7c7:ffff:ffff:ffff:ffff:ffff:ffff,FR
2a01:f800::,2a01:f807:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a01:f840::,2a01:f847:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a01:f880::,2a01:f887:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a01:f8c0::,2a01:f8c3:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:f8c4::,2a01:f8c7:ffff:ffff:ffff:ffff:ffff:ffff,IE
2a01:f900::,2a01:f907:ffff:ffff:ffff:ffff:ffff:ffff,TR
2a01:f940::,2a01:f940:ffff:ffff:ffff:ffff:ffff:ffff,BE
2a01:f980::,2a01:f987:ffff:ffff:ffff:ffff:ffff:ffff,IR
2a01:f9c0::,2a01:f9c7:ffff:ffff:ffff:ffff:ffff:ffff,FR
2a01:fa00::,2a01:fa07:ffff:ffff:ffff:ffff:ffff:ffff,HR
2a01:fa40::,2a01:fa47:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a01:fa80::,2a01:fa87:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a01:fac0::,2a01:fac7:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a01:fb40::,2a01:fb47:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a01:fb80::,2a01:fb87:ffff:ffff:ffff:ffff:ffff:ffff,IR
2a01:fbc0::,2a01:fbc7:ffff:ffff:ffff:ffff:ffff:ffff,IR
2a01:fc00::,2a01:fc07:ffff:ffff:ffff:ffff:ffff:ffff,ES
2a01:fc40::,2a01:fc40:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a01:fc80::,2a01:fc87:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a01:fcc0::,2a01:fcc7:ffff:ffff:ffff:ffff:ffff:ffff,FR
2a01:fd00::,2a01:fd07:ffff:ffff:ffff:ffff:ffff:ffff,AE
2a01:fd40::,2a01:fd40:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a01:fd80::,2a01:fd87:ffff:ffff:ffff:ffff:ffff:ffff,IR
2a01:fdc0::,2a01:fdc0:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:fdc1::,2a01:fdc1:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a01:fdc2::,2a01:fdc7:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a01:fe00::,2a01:fe00:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a01:fe40::,2a01:fe40:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a01:fe80::,2a01:fe87:ffff:ffff:ffff:ffff:ffff:ffff,US
2a01:fec0::,2a01:fec7:ffff:ffff:ffff:ffff:ffff:ffff,TR
2a01:ff00::,2a01:ff07:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a01:ff40::,2a01:ff47:ffff:ffff:ffff:ffff:ffff:ffff,ES
2a01:ff80::,2a01:ff87:ffff:ffff:ffff:ffff:ffff:ffff,IR
2a01:ffc0::,2a01:ffc7:ff:ffff:ffff:ffff:ffff:ffff,NO
2a01:ffc7:100::,2a01:ffc7:1ff:ffff:ffff:ffff:ffff:ffff,KR
2a01:ffc7:200::,2a01:ffc7:2ff:ffff:ffff:ffff:ffff:ffff,RO
2a01:ffc7:300::,2a01:ffc7:ffff:ffff:ffff:ffff:ffff:ffff,NO
2a02::,2a02::ffff:ffff:ffff:ffff:ffff:ffff,LU
2a02:8::,2a02:8:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a02:10::,2a02:17:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a02:18::,2a02:18:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:20::,2a02:27:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a02:28::,2a02:2f:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a02:30::,2a02:30:ffff:ffff:ffff:ffff:ffff:ffff,SE
2a02:38::,2a02:3f:ffff:ffff:ffff:ffff:ffff:ffff,CZ
2a02:40::,2a02:40:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a02:48::,2a02:4f:ffff:ffff:ffff:ffff:ffff:ffff,IS
2a02:50::,2a02:50:ffff:ffff:ffff:ffff:ffff:ffff,TR
2a02:58::,2a02:58:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a02:60::,2a02:67:ffff:ffff:ffff:ffff:ffff:ffff,AT
2a02:68::,2a02:6f:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a02:70::,2a02:70:ffff:ffff:ffff:ffff:ffff:ffff,UA
2a02:78::,2a02:78:ffff:ffff:ffff:ffff:ffff:ffff,PL
2a02:80::,2a02:87:ffff:ffff:ffff:ffff:ffff:ffff,SE
2a02:88::,2a02:88:ffff:ffff:ffff:ffff:ffff:ffff,EE
2a02:98::,2a02:98:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a02:a0::,2a02:a0:ffff:ffff:ffff:ffff:ffff:ffff,ES
2a02:a8::,2a02:a8:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:b8::,2a02:b8:ffff:ffff:ffff:ffff:ffff:ffff,LU
2a02:c0::,2a02:c0:ffff:ffff:ffff:ffff:ffff:ffff,NO
2a02:c8::,2a02:c8:ffff:ffff:ffff:ffff:ffff:ffff,BE
2a02:d0::,2a02:d0:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a02:d8::,2a02:d8:7:ffff:ffff:ffff:ffff:ffff,NO
2a02:d8:8::,2a02:d8:9:ffff:ffff:ffff:ffff:ffff,DE
2a02:d8:a::,2a02:d8:b:ffff:ffff:ffff:ffff:ffff,NO
2a02:d8:c::,2a02:d8:d:ffff:ffff:ffff:ffff:ffff,US
2a02:d8:e::,2a02:d8:8007:ffff:ffff:ffff:ffff:ffff,NO
2a02:d8:8008::,2a02:d8:8009:ffff:ffff:ffff:ffff:ffff,DE
2a02:d8:800a::,2a02:d8:800b:ffff:ffff:ffff:ffff:ffff,NO
2a02:d8:800c::,2a02:d8:800d:ffff:ffff:ffff:ffff:ffff,US
2a02:d8:800e::,2a02:d8:ffff:ffff:ffff:ffff:ffff:ffff,NO
2a02:e0::,2a02:e0:ffff:ffff:ffff:ffff:ffff:ffff,TR
2a02:e8::,2a02:ef:ffff:ffff:ffff:ffff:ffff:ffff,SI
2a02:f0::,2a02:f0:ffff:ffff:ffff:ffff:ffff:ffff,NO
2a02:f8::,2a02:f8:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a02:100::,2a02:100:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a02:108::,2a02:10f:ffff:ffff:ffff:ffff:ffff:ffff,DK
2a02:110::,2a02:110:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a02:118::,2a02:118:ffff:ffff:ffff:ffff:ffff:ffff,LT
2a02:120::,2a02:127:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a02:128::,2a02:128:1:ffff:ffff:ffff:ffff:ffff,CZ
2a02:128:2::,2a02:128:4:ffff:ffff:ffff:ffff:ffff,UA
2a02:128:5::,2a02:128:5:ffff:ffff:ffff:ffff:ffff,CZ
2a02:128:6::,2a02:128:6:ffff:ffff:ffff:ffff:ffff,BY
2a02:128:7::,2a02:128:7:ffff:ffff:ffff:ffff:ffff,NL
2a02:128:8::,2a02:128:8:ffff:ffff:ffff:ffff:ffff,RU
2a02:128:9::,2a02:128:9:ffff:ffff:ffff:ffff:ffff,BY
2a02:128:a::,2a02:128:f:ffff:ffff:ffff:ffff:ffff,CZ
2a02:128:10::,2a02:128:10:ffff:ffff:ffff:ffff:ffff,RU
2a02:128:11::,2a02:128:11:ffff:ffff:ffff:ffff:ffff,CZ
2a02:128:12::,2a02:128:12:ffff:ffff:ffff:ffff:ffff,UA
2a02:128:13::,2a02:128:13:ffff:ffff:ffff:ffff:ffff,RU
2a02:128:14::,2a02:128:14:ffff:ffff:ffff:ffff:ffff,CZ
2a02:128:15::,2a02:128:15:ffff:ffff:ffff:ffff:ffff,RU
2a02:128:16::,2a02:128:16:ffff:ffff:ffff:ffff:ffff,UA
2a02:128:17::,2a02:128:17:ffff:ffff:ffff:ffff:ffff,RU
2a02:128:18::,2a02:128:18:ffff:ffff:ffff:ffff:ffff,BY
2a02:128:19::,2a02:128:19:ffff:ffff:ffff:ffff:ffff,UA
2a02:128:1a::,2a02:128:1f:ffff:ffff:ffff:ffff:ffff,CZ
2a02:128:20::,2a02:128:20:ffff:ffff:ffff:ffff:ffff,UA
2a02:128:21::,2a02:128:21:ffff:ffff:ffff:ffff:ffff,CZ
2a02:128:22::,2a02:128:22:ffff:ffff:ffff:ffff:ffff,RU
2a02:128:23::,2a02:128:3fff:ffff:ffff:ffff:ffff:ffff,CZ
2a02:128:4000::,2a02:128:7fff:ffff:ffff:ffff:ffff:ffff,UA
2a02:128:8000::,2a02:12f:ffff:ffff:ffff:ffff:ffff:ffff,CZ
2a02:130::,2a02:130:ffff:ffff:ffff:ffff:ffff:ffff,SK
2a02:138::,2a02:138:ffff:ffff:ffff:ffff:ffff:ffff,PT
2a02:148::,2a02:14f:ffff:ffff:ffff:ffff:ffff:ffff,IL
2a02:158::,2a02:15f:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:160::,2a02:160:ffff:ffff:ffff:ffff:ffff:ffff,SE
2a02:168::,2a02:16b:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a02:170::,2a02:170:ffff:ffff:ffff:ffff:ffff:ffff,FR
2a02:178::,2a02:178:ffff:ffff:ffff:ffff:ffff:ffff,TR
2a02:180::,2a02:187:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:188::,2a02:18f:ffff:ffff:ffff:ffff:ffff:ffff,DK
2a02:190::,2a02:190:ffff:ffff:ffff:ffff:ffff:ffff,SE
2a02:198::,2a02:198:ffff:ffff:ffff:ffff:ffff:ffff,IE
2a02:1a8::,2a02:1af:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:1b8::,2a02:1b8:ffff:ffff:ffff:ffff:ffff:ffff,AT
2a02:1b9::,2a02:1b9:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:1ba::,2a02:1bf:ffff:ffff:ffff:ffff:ffff:ffff,AT
2a02:1c0::,2a02:1c7:ffff:ffff:ffff:ffff:ffff:ffff,BG
2a02:1c8::,2a02:1c8:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a02:1d0::,2a02:1d0:ffff:ffff:ffff:ffff:ffff:ffff,CZ
2a02:1d8::,2a02:1d8:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a02:1e0::,2a02:1e8:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a02:1f0::,2a02:1f0:ffff:ffff:ffff:ffff:ffff:ffff,CZ
2a02:1f8::,2a02:1f8:ffff:ffff:ffff:ffff:ffff:ffff,FR
2a02:200::,2a02:207:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a02:208::,2a02:208:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a02:210::,2a02:210:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a02:218::,2a02:21f:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:220::,2a02:220:ffff:ffff:ffff:ffff:ffff:ffff,IE
2a02:228::,2a02:22f:ffff:ffff:ffff:ffff:ffff:ffff,NO
2a02:238::,2a02:238:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:240::,2a02:240:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a02:248::,2a02:248:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:250::,2a02:250:ffff:ffff:ffff:ffff:ffff:ffff,SE
2a02:258::,2a02:25f:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a02:260::,2a02:260:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a02:268::,2a02:268:ffff:ffff:ffff:ffff:ffff:ffff,TR
2a02:270::,2a02:277:ffff:ffff:ffff:ffff:ffff:ffff,NO
2a02:278::,2a02:278:ffff:ffff:ffff:ffff:ffff:ffff,IE
2a02:280::,2a02:280:ffff:ffff:ffff:ffff:ffff:ffff,UA
2a02:288::,2a02:290:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a02:298::,2a02:298:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a02:2a0::,2a02:2a0:ffff:ffff:ffff:ffff:ffff:ffff,PL
2a02:2a8::,2a02:2af:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a02:2b0::,2a02:2b0:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a02:2b8::,2a02:2b8:ffff:ffff:ffff:ffff:ffff:ffff,FR
2a02:2c0::,2a02:2c0:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:2c8::,2a02:2cf:ffff:ffff:ffff:ffff:ffff:ffff,NO
2a02:2d8::,2a02:2d8:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a02:2d9::,2a02:2d9:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a02:2e0::,2a02:2e0:423:ffef:ffff:ffff:ffff:ffff,DE
2a02:2e0:423:fff0::,2a02:2e0:423:ffff:ffff:ffff:ffff:ffff,AT
2a02:2e0:424::,2a02:2e7:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:2e8::,2a02:2e8:ffff:ffff:ffff:ffff:ffff:ffff,IT
2a02:2f0::,2a02:2f7:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:2f8::,2a02:2f8:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a02:300::,2a02:300:ffff:ffff:ffff:ffff:ffff:ffff,UA
2a02:308::,2a02:30f:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a02:310::,2a02:310:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a02:320::,2a02:32f:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:330::,2a02:330:ffff:ffff:ffff:ffff:ffff:ffff,RU
2a02:338::,2a02:338:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a02:348::,2a02:348:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a02:350::,2a02:357:ffff:ffff:ffff:ffff:ffff:ffff,CZ
2a02:358::,2a02:358:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:360::,2a02:367:ffff:ffff:ffff:ffff:ffff:ffff,NL
2a02:368::,2a02:370:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a02:380::,2a02:381:ffff:ffff:ffff:ffff:ffff:ffff,LI
2a02:388::,2a02:388:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a02:390::,2a02:390:ffff:ffff:ffff:ffff:ffff:ffff,GB
2a02:398::,2a02:398:ffff:ffff:ffff:ffff:ffff:ffff,FR
2a02:3a0::,2a02:3a0:ffff:ffff:ffff:ffff:ffff:ffff,DE
2a02:3a8::,2a02:3a8:ffff:ffff:ffff:ffff:ffff:ffff,LU
2a02:3b0::,2a02:3b0:ffff:ffff:ffff:ffff:ffff:ffff,CH
2a02:3b8::,2a02:3b8:ffff:ffff:ffff:ffff:ffff:ffff,ES
2a02:3c0::,2a02:3c7:ffff:ffff:ffff:ffff:ffff:ffff,CZ
2a02:3c8::,2a02:3c8:ffff:ffff:ffff:ffff:ffff:ffff,IS
2a02:3d0::,2a02:3d0:2:ffff:ffff:ffff:ffff:ffff,US
2a02:3d0:3::,2a02:3d0:3:ffff:ffff:ffff:ffff:ffff,TR
2a02:3d0:4::,2a02:3d0:5:ffff:ffff:ffff:ffff:ffff,GB
2a02:3d0:6::,2a02:3d0:6:ffff:ffff:ffff:ffff:ffff,DE
2a02:3d0:7::,2a02:3d0:7:ffff:ffff:ffff:ffff:ffff,GB
2a02:3d0:8::,2a02:3d0:8:ffff:ffff:ffff:ffff:ffff,IL
2a02:3d0:9::,2a02:3d0:9:ffff:ffff:ffff:ffff:ffff,US
2a02:3d0:a::,2a02:3d0:a:ffff:ffff:ffff:ffff:ffff,AE
2a02:3d0:b::,2a02:3d0:b:ffff:ffff:ffff:ffff:ffff,SA
2a02:3d0:c::,2a02:3d0:c:ffff:ffff:ffff:ffff:ffff,DE
2a02:3d0:d::,2a02:3d0:d:ffff:ffff:ffff:ffff:ffff,IT
2a02:3d0:e::,2a02:3d0:600:ffff:ffff:ffff:ffff:ffff,US
2a02:3d0:601::,2a02:3d0:602:ffff:ffff:ffff:ffff:ffff,GB
2a02:3d0:603::,2a02:3d0:60f:ffff:ffff:ffff:ffff:ffff,US
2a02:3d0:610::,2a02:3d0:610:ffff:ffff:ffff:ffff:ffff,NL
